,Date,Time,open,high,low,close,volume,ticker
10875,2020-12-07,09:15:00,446.0,448.9,445.95,448.25,90131,ADANIENT-EQ
15365,2020-12-07,09:15:00,2434.65,2457.85,2430.15,2456.0,24720,APOLLOHOSP-EQ
4875,2020-12-07,09:15:00,2440.0,2449.3,2437.45,2440.0,52885,ASIANPAINT-EQ
3000,2020-12-07,09:15:00,616.95,616.95,612.45,615.6,502666,AXISBANK-EQ
4500,2020-12-07,09:15:00,906.4,908.0,902.52,908.0,14507,BAJAJFINSV-EQ
17990,2020-12-07,09:15:00,392.15,392.85,391.45,392.05,68601,BPCL-EQ
13125,2020-12-07,09:15:00,3650.0,3664.0,3645.0,3652.55,6011,BRITANNIA-EQ
14615,2020-12-07,09:15:00,766.95,771.5,766.0,771.0,89395,CIPLA-EQ
16490,2020-12-07,09:15:00,133.3,133.65,133.0,133.1,159572,COALINDIA-EQ
16865,2020-12-07,09:15:00,3704.0,3706.0,3693.8,3705.8,9550,DIVISLAB-EQ
12000,2020-12-07,09:15:00,4930.0,4933.1,4908.6,4915.0,17685,DRREDDY-EQ
16115,2020-12-07,09:15:00,2553.5,2573.55,2551.5,2567.3,18256,EICHERMOT-EQ
11625,2020-12-07,09:15:00,939.95,939.95,930.7,933.75,31152,GRASIM-EQ
6375,2020-12-07,09:15:00,858.0,859.95,855.0,856.3,80570,HCLTECH-EQ
375,2020-12-07,09:15:00,1375.0,1379.95,1360.65,1365.6,401583,HDFCBANK-EQ
11250,2020-12-07,09:15:00,645.1,648.55,644.0,646.0,101874,HDFCLIFE-EQ
17240,2020-12-07,09:15:00,3179.9,3184.8,3165.05,3184.0,15816,HEROMOTOCO-EQ
12750,2020-12-07,09:15:00,252.3,252.65,251.15,251.7,304023,HINDALCO-EQ
750,2020-12-07,09:15:00,505.0,507.5,504.15,506.0,1157758,ICICIBANK-EQ
8250,2020-12-07,09:15:00,37.3,37.35,37.1,37.25,283330,IDFCFIRSTB-EQ
1500,2020-12-07,09:15:00,1147.3,1153.0,1143.7,1145.65,393840,INFY-EQ
1875,2020-12-07,09:15:00,198.2,198.65,197.6,197.7,389601,ITC-EQ
3375,2020-12-07,09:15:00,1849.45,1853.95,1837.35,1850.55,110963,KOTAKBANK-EQ
2625,2020-12-07,09:15:00,1154.8,1154.8,1145.0,1148.55,83839,LT-EQ
5625,2020-12-07,09:15:00,750.0,751.6,746.0,749.35,57117,M&M-EQ
5250,2020-12-07,09:15:00,7828.8,7835.0,7805.0,7825.65,18878,MARUTI-EQ
9750,2020-12-07,09:15:00,17651.0,17750.0,17650.1,17671.9,2864,NESTLEIND-EQ
9000,2020-12-07,09:15:00,99.0,99.5,99.0,99.15,539601,NTPC-EQ
12375,2020-12-07,09:15:00,91.15,92.75,90.75,92.7,2106806,ONGC-EQ
8625,2020-12-07,09:15:00,144.75,145.43,144.38,144.38,190808,POWERGRID-EQ
0,2020-12-07,09:15:00,1940.6,1949.0,1940.6,1948.35,251927,RELIANCE-EQ
13500,2020-12-07,09:15:00,263.8,264.0,263.0,263.9,1648413,SBIN-EQ
6750,2020-12-07,09:15:00,570.35,571.5,569.05,569.5,232180,SUNPHARMA-EQ
15740,2020-12-07,09:15:00,563.95,569.0,563.95,568.15,77509,TATACONSUM-EQ
7125,2020-12-07,09:15:00,184.45,184.85,183.25,183.95,896688,TATAMOTORS-EQ
7875,2020-12-07,09:15:00,62.36,62.73,62.36,62.41,276790,TATASTEEL-EQ
7876,2020-12-07,09:15:00,62.41,62.53,62.27,62.3,188582,TATASTEEL-EQ
2250,2020-12-07,09:15:00,2715.0,2721.75,2711.4,2715.3,52939,TCS-EQ
10500,2020-12-07,09:15:00,915.5,924.6,915.5,920.5,62528,TECHM-EQ
6000,2020-12-07,09:15:00,1436.0,1436.0,1424.5,1428.75,29294,TITAN-EQ
7500,2020-12-07,09:15:00,5120.0,5140.0,5100.0,5103.6,23389,ULTRACEMCO-EQ
17615,2020-12-07,09:15:00,455.0,456.8,453.55,456.8,65562,UPL-EQ
13875,2020-12-07,09:15:00,355.1,360.9,355.1,358.6,4640,VIPIND-EQ
10876,2020-12-07,09:16:00,448.25,449.55,448.1,449.05,86434,ADANIENT-EQ
15366,2020-12-07,09:16:00,2452.7,2461.6,2447.65,2461.2,25906,APOLLOHOSP-EQ
4876,2020-12-07,09:16:00,2442.0,2443.15,2438.1,2439.05,26041,ASIANPAINT-EQ
3001,2020-12-07,09:16:00,615.6,616.25,614.7,616.25,158373,AXISBANK-EQ
4501,2020-12-07,09:16:00,907.2,908.99,906.72,908.99,5875,BAJAJFINSV-EQ
17991,2020-12-07,09:16:00,392.6,394.45,392.6,393.6,62155,BPCL-EQ
13126,2020-12-07,09:16:00,3650.75,3657.6,3650.75,3652.05,3408,BRITANNIA-EQ
14616,2020-12-07,09:16:00,771.0,771.0,768.35,770.55,92837,CIPLA-EQ
16491,2020-12-07,09:16:00,133.15,133.95,133.15,133.85,102235,COALINDIA-EQ
16866,2020-12-07,09:16:00,3705.45,3705.45,3677.05,3682.35,12153,DIVISLAB-EQ
12001,2020-12-07,09:16:00,4915.7,4930.0,4915.7,4927.4,11497,DRREDDY-EQ
16116,2020-12-07,09:16:00,2562.15,2569.05,2560.2,2563.1,14991,EICHERMOT-EQ
11626,2020-12-07,09:16:00,933.3,934.35,930.25,930.75,10855,GRASIM-EQ
6376,2020-12-07,09:16:00,857.5,857.55,855.4,856.15,24635,HCLTECH-EQ
376,2020-12-07,09:16:00,1365.55,1366.45,1363.0,1363.1,235832,HDFCBANK-EQ
11251,2020-12-07,09:16:00,646.3,646.3,643.5,645.6,45620,HDFCLIFE-EQ
17241,2020-12-07,09:16:00,3185.0,3196.1,3177.1,3192.65,11032,HEROMOTOCO-EQ
12751,2020-12-07,09:16:00,251.6,251.7,250.1,250.4,192320,HINDALCO-EQ
751,2020-12-07,09:16:00,506.35,506.65,505.55,506.15,562983,ICICIBANK-EQ
8251,2020-12-07,09:16:00,37.3,37.4,37.25,37.3,216339,IDFCFIRSTB-EQ
1501,2020-12-07,09:16:00,1146.15,1147.2,1144.15,1146.95,105744,INFY-EQ
1876,2020-12-07,09:16:00,197.8,198.0,197.7,197.9,169789,ITC-EQ
3376,2020-12-07,09:16:00,1850.3,1852.55,1847.0,1852.05,99646,KOTAKBANK-EQ
2626,2020-12-07,09:16:00,1148.5,1149.75,1148.0,1148.45,25267,LT-EQ
5626,2020-12-07,09:16:00,749.0,749.0,746.25,747.4,13515,M&M-EQ
5251,2020-12-07,09:16:00,7827.2,7830.0,7788.1,7798.3,11468,MARUTI-EQ
9751,2020-12-07,09:16:00,17684.7,17705.3,17666.8,17683.8,908,NESTLEIND-EQ
9001,2020-12-07,09:16:00,99.1,99.3,98.8,99.25,505687,NTPC-EQ
12376,2020-12-07,09:16:00,92.85,94.0,92.55,93.8,1842689,ONGC-EQ
